1:2527000:374,misc-attack
1:2527001:374,misc-attack
1:2527002:374,misc-attack
1:2527003:374,misc-attack
1:2527004:374,misc-attack
1:2527005:374,misc-attack
1:2527006:374,misc-attack
1:2527007:374,misc-attack
1:2527008:374,misc-attack
1:2527009:374,misc-attack
1:2527010:374,misc-attack
1:2527011:374,misc-attack
1:2101903:9,misc-attack
1:2101904:8,misc-attack
1:2103070:3,misc-attack
1:2101842:16,attempted-user
1:2101844:12,misc-attack
1:2101780:10,misc-attack
1:2102330:3,misc-attack
1:2103076:2,misc-attack
1:2103075:2,misc-attack
1:2103074:2,misc-attack
1:2103073:2,misc-attack
1:2103072:3,misc-attack
1:2103068:2,misc-attack
1:2103066:3,misc-attack
1:2103058:2,misc-attack
1:2103007:2,misc-attack
1:2100293:8,attempted-admin
1:2102003:9,misc-attack
1:2101775:4,protocol-command-decode
1:2101776:4,protocol-command-decode
1:2101674:6,protocol-command-decode
1:2103152:4,unsuccessful-user
1:2102576:7,attempted-user
1:2100677:7,attempted-user
1:2100678:7,attempted-user
1:2100680:10,attempted-user
1:2100683:6,attempted-user
1:2100684:6,attempted-user
1:2100685:6,attempted-user
1:2100688:11,unsuccessful-user
1:2100690:10,attempted-user
1:2100692:7,shellcode-detect
1:2100693:7,shellcode-detect
1:2100694:7,attempted-user
1:2103273:4,unsuccessful-user
1:2102699:2,attempted-user
1:2102698:3,attempted-user
1:2102683:3,attempted-user
1:2102682:3,attempted-user
1:2102681:3,attempted-user
1:2102700:4,attempted-user
1:2102649:3,attempted-user
1:2102822:3,attempted-user
1:2102614:3,attempted-user
1:2100681:7,attempted-user
1:2100673:6,attempted-user
1:2102600:3,attempted-user
1:2102602:3,attempted-user
1:2102604:3,attempted-user
1:2102607:3,attempted-user
1:2102610:3,attempted-user
1:2102616:3,attempted-user
1:2102618:3,attempted-user
1:2102625:3,attempted-user
1:2102628:3,attempted-user
1:2102630:3,attempted-user
1:2102632:3,attempted-user
1:2102634:3,attempted-user
1:2102636:3,attempted-user
1:2102638:3,attempted-user
1:2102640:3,attempted-user
1:2102642:3,attempted-user
1:2102644:4,attempted-user
1:2102646:3,attempted-user
1:2102648:3,attempted-user
1:2102653:3,attempted-user
1:2014910:3,bad-unknown
1:2102599:4,attempted-user
1:2102678:4,attempted-user
1:2102697:4,attempted-user
1:2102708:4,attempted-user
1:2102709:4,attempted-user
1:2102652:5,attempted-user
1:2102711:4,attempted-user
1:2102712:4,attempted-user
1:2102713:4,attempted-user
1:2102714:4,attempted-user
1:2102715:4,attempted-user
1:2102635:5,attempted-user
1:2102717:4,attempted-user
1:2102718:3,attempted-user
1:2102719:4,attempted-user
1:2102720:4,attempted-user
1:2102721:4,attempted-user
1:2102674:3,attempted-user
1:2102722:3,attempted-user
1:2102723:4,attempted-user
1:2102724:4,attempted-user
1:2102725:4,attempted-user
1:2102727:4,attempted-user
1:2102728:4,attempted-user
1:2102729:4,attempted-user
1:2102730:4,attempted-user
1:2102731:4,attempted-user
1:2102732:4,attempted-user
1:2102733:4,attempted-user
1:2102619:5,attempted-user
1:2102734:4,attempted-user
1:2102741:4,attempted-user
1:2102735:4,attempted-user
1:2102736:4,attempted-user
1:2102737:4,attempted-user
1:2102738:4,attempted-user
1:2102739:4,attempted-user
1:2102740:4,attempted-user
1:2102742:4,attempted-user
1:2102744:4,attempted-user
1:2102743:4,attempted-user
1:2102745:4,attempted-user
1:2102747:4,attempted-user
1:2102609:5,attempted-user
1:2102748:4,attempted-user
1:2102749:4,attempted-user
1:2102750:4,attempted-user
1:2102751:4,attempted-user
1:2102752:4,attempted-user
1:2102606:5,attempted-user
1:2102753:4,attempted-user
1:2102754:4,attempted-user
1:2102755:4,attempted-user
1:2102756:4,attempted-user
1:2102605:5,attempted-user
1:2102757:4,attempted-user
1:2102758:4,attempted-user
1:2102603:5,attempted-user
1:2102850:4,attempted-user
1:2102759:4,attempted-user
1:2102851:4,attempted-user
1:2102760:4,attempted-user
1:2102761:4,attempted-user
1:2102762:4,attempted-user
1:2102763:4,attempted-user
1:2102764:4,attempted-user
1:2102765:4,attempted-user
1:2102766:4,attempted-user
1:2102767:4,attempted-user
1:2102601:5,attempted-user
1:2102637:5,attempted-user
1:2102639:5,attempted-user
1:2102769:4,attempted-user
1:2102770:4,attempted-user
1:2102777:4,attempted-user
1:2102771:4,attempted-user
1:2102779:4,attempted-user
1:2102772:4,attempted-user
1:2102773:4,attempted-user
1:2102774:4,attempted-user
1:2102775:4,attempted-user
1:2102776:4,attempted-user
1:2102778:4,attempted-user
1:2102780:4,attempted-user
1:2102781:4,attempted-user
1:2102782:4,attempted-user
1:2102783:4,attempted-user
1:2102784:4,attempted-user
1:2102785:4,attempted-user
1:2102852:4,attempted-user
1:2102786:4,attempted-user
1:2102853:4,attempted-user
1:2102854:4,attempted-user
1:2102788:4,attempted-user
1:2102789:4,attempted-user
1:2102790:4,attempted-user
1:2102791:4,attempted-user
1:2102792:4,attempted-user
1:2102793:4,attempted-user
1:2102631:5,attempted-user
1:2102795:4,attempted-user
1:2102796:4,attempted-user
1:2102797:4,attempted-user
1:2102798:4,attempted-user
1:2102799:4,attempted-user
1:2102855:4,attempted-user
1:2102800:4,attempted-user
1:2102627:5,attempted-user
1:2102801:4,attempted-user
1:2102804:4,attempted-user
1:2102626:5,attempted-user
1:2102805:4,attempted-user
1:2102806:4,attempted-user
1:2102807:4,attempted-user
1:2102808:4,attempted-user
1:2102856:4,attempted-user
1:2102857:4,attempted-user
1:2102809:4,attempted-user
1:2102810:4,attempted-user
1:2102811:4,attempted-user
1:2102812:4,attempted-user
1:2102629:5,attempted-user
1:2102624:5,attempted-user
1:2102746:4,attempted-user
1:2102641:6,attempted-user
1:2102645:5,attempted-user
1:2102647:5,attempted-user
1:2102802:4,attempted-user
1:2102676:4,attempted-user
1:2102675:4,attempted-user
1:2102677:4,attempted-user
1:2102623:5,attempted-user
1:2102621:5,attempted-user
1:2102622:5,attempted-user
1:2102859:4,attempted-user
1:2102877:4,attempted-user
1:2102893:4,attempted-user
1:2102895:4,attempted-user
1:2102830:4,attempted-user
1:2102703:7,web-application-attack
1:2102650:4,attempted-user
1:2014385:5,not-suspicious
1:2017918:2,attempted-dos
1:2017919:2,attempted-dos
1:2017920:2,attempted-dos
1:2017921:2,attempted-dos
1:2017965:3,attempted-dos
1:2019010:3,attempted-dos
1:2019011:3,attempted-dos
1:2019012:3,attempted-dos
1:2019013:3,attempted-dos
1:2019102:1,attempted-dos
1:2016016:8,bad-unknown
1:2017966:3,attempted-dos
1:2019350:2,attempted-dos
1:2019346:2,attempted-dos
1:2019347:2,attempted-dos
1:2019348:2,attempted-dos
1:2019349:2,attempted-dos
1:2019014:4,attempted-dos
1:2019015:4,attempted-dos
1:2019016:3,attempted-dos
1:2019017:3,attempted-dos
1:2019018:3,attempted-dos
1:2019019:3,attempted-dos
1:2019021:3,attempted-dos
1:2019020:3,attempted-dos
1:2019022:4,attempted-dos
1:2020305:4,attempted-dos
1:2020306:3,attempted-dos
1:2021170:1,attempted-dos
1:2021171:1,attempted-dos
